id X Y Z
408 87649.08594 12724.4541 46.09000015
409 87677.17188 12719.16797 44.99900055
410 87666.97656 12726.31738 46.06600189
411 87580.04688 12722.97266 45.52500153
412 87535.80469 12780.36523 45.81900024
413 87574.17969 12739.34473 44.5719986
414 87541.83594 12788.46191 45.70700073
415 87556.04688 12757.98535 45.32699966
416 87572.34375 12759.51953 44.68199921
417 87549.48438 12781.82031 46.01100159
418 87555.04688 12767.47266 45.01499939
419 87575.36719 12765.26953 44.35699844
420 87573.32813 12767.69824 44.31600189
421 87586.94531 12772.74707 44.28099823
422 87577.125 12768.92676 44.5929985
423 87563.26563 12795.42285 45.93600082
424 87562.38281 12775.21582 46.11000061
425 87586.70313 12776.98438 44.5379982
426 87575.23438 12798.39063 45.1590004
427 87559.10156 12761.16895 45.21099854
428 87570.82031 12781.58984 45.86800003
429 87584.72656 12794.90137 45.20000076
430 87592.94531 12779.72363 44.59899902
431 87580.71875 12784.54395 45.57300186
432 87571.1875 12762.4834 46.40399933
433 87589.57031 12800.78516 43.5320015
434 87583.22656 12780.71973 47.05099869
435 87569.9375 12766.73633 46.8219986
436 87581.63281 12779.37793 47.68700027
437 87589.46875 12800.74121 43.45700073
438 87604.39844 12774.14941 42.0929985
439 87604.53906 12774.17676 44.70600128
440 87597.10938 12804.03125 43.56200027
441 87582.71875 12773.18652 47.41500092
442 87560.97656 12766.26758 46.85699844
443 87560.875 12767.21191 48.28900146
444 87564.35156 12766.77344 48.5890007
445 87578.50781 12771.52734 47.60800171
446 87606.67188 12769.89453 44.67499924
447 87601.1875 12791.84473 43.73699951
448 87579.61719 12778.49121 47.56399918
449 87565.32031 12773.94727 48.18399811
450 87570.74219 12778.17676 48.11700058
451 87578.83594 12778.98828 48.43799973
452 87603.5 12777.73438 46.20399857
453 87606.83594 12781.50781 43.96699905
454 87594.98438 12784.20703 46.18099976
455 87577.26563 12771.5166 48.68199921
456 87593.375 12782.11816 46.2480011
457 87572.60156 12799.14063 45.91799927
458 87596.13281 12789.39453 45.77199936
459 87558.96875 12792.11328 46.15399933
460 87557.1875 12815.93555 43.33800125
461 87568.20313 12828.33008 43.07500076
462 87576.39063 12817.95801 43.14500046
463 87578.35938 12834.45996 42.99900055
464 87584.89063 12800.0127 43.87900162
465 87599.4375 12801.09766 43.6269989
466 87592.4375 12842.17773 42.91500092
467 87592.07031 12819.11816 43.20600128
468 87548.32813 12783.70801 45.72900009
469 87618.29688 12803.49707 43.61299896
470 87616.23438 12825.17773 43.11000061
471 87631.38281 12802.86133 43.63199997
472 87604.40625 12846.6582 42.87900162
473 87630.875 12829.11523 43.19200134
474 87646.50781 12804.27441 43.57600021
475 87644.9375 12836.86133 43.12099838
476 87621.78125 12764.45801 44.42100143
477 87619.39063 12856.81152 42.7840004
478 87636.78125 12772.14648 44.52199936
479 87646.63281 12838.54785 42.16999817
480 87660.32031 12810.06348 43.49499893
481 87647.23438 12779.39941 44.26699829
482 87629.23438 12862.00781 43.2140007
483 87657.21094 12779.65918 44.25299835
484 87668.23438 12796.62793 44.14099884
485 87670.15625 12778.73535 44.39899826
486 87631.16406 12863.12402 41.86999893
487 87657.78906 12827.71777 43.61000061
488 87679.5625 12777.60352 44.45100021
489 87633.80469 12864.54199 43.17399979
490 87672.33594 12803.33301 44.2120018
491 87672.1875 12794.27344 42.86600113
492 87684.72656 12781.10645 44.83000183
493 87673.14063 12821.93945 43.95800018
494 87645.46875 12873.625 43.3769989
495 87662.60156 12840.31543 43.95199966
496 87684.04688 12800.76367 44.17100143
497 87691.64063 12784.47852 44.68600082
498 87659.67969 12878.55371 43.34500122
499 87703.90625 12784.35254 44.53099823
500 87694.82813 12805.71582 43.86500168
501 87671.78125 12833.625 43.31000137
502 87668.57031 12885.19824 43.2159996
503 87681.71875 12844.42969 43.40399933
504 87701.60938 12818.36426 43.64300156
505 87718.73438 12782.27441 44.78699875
506 87715.07031 12822.75488 43.94599915
507 87696.67969 12852.5 43.41699982
508 87680.94531 12891.81445 42.75600052
509 87715.27344 12868.49023 43.91600037
510 87729.14063 12829.89063 44.00400162
511 87729.20313 12786.05371 44.95999908
512 87748.75 12841.54492 44.20600128
513 87734.64844 12877.78613 42.88800049
514 87692.86719 12899.99219 42.90800095
515 87748.92188 12889.82422 42.9679985
516 87764.27344 12850.08691 44.4090004
517 87739.89844 12786.87012 46.05699921
518 87778.88281 12860.76563 44.0340004
519 87761.09375 12898.00293 42.68099976
520 87710.63281 12913.95898 42.68000031
521 87773.89844 12871.51855 45.82500076
522 87753.24219 12790.99707 46.09899902
523 87778.79688 12864.29492 45.375
524 87721.98438 12913 42.54700089
525 87723.82031 12924.19043 42.19300079
526 87799.13281 12852.21387 43.68299866
527 87765.07813 12796.67969 45.24900055
528 87739.16406 12910.12988 42.63800049
529 87738.64844 12935.30078 42.09000015
530 87754.35156 12915.80664 42.50699997
531 87786.4375 12841.9707 46.45500183
532 87776.15625 12802.69531 45.28499985
533 87781.96875 12848.25098 45.59799957
534 87771.73438 12867.5166 44.18899918
535 87791.25781 12834.91992 45.13299942
536 87775.89063 12810.27441 45.45700073
537 87795.63281 12833.60645 46.07600021
538 87799.74219 12853.4248 43.69200134
539 87781.53906 12807.19629 47.89699936
540 87800.67188 12830.16797 46.74100113
541 87779.78906 12810.66602 47.58499908
542 87787.28125 12848.92578 43.99499893
543 87814.57031 12830.11523 44.22900009
544 87804.75 12818.56445 45.1230011
545 87797 12813.63574 44.30099869
546 87785.85156 12814.6543 48.06100082
547 87797.03125 12813.54492 44.28900146
548 87814.59375 12830.15137 44.2179985
549 87806.76563 12805.63184 45.54000092
550 87804.39844 12803.16309 44.50500107
551 87822.04688 12821.58691 44.69599915
552 87806.23438 12793.95215 45.86399841
553 87818.77344 12806.10059 45.8390007
554 87793.08594 12813.6543 45.80199814
555 87827.84375 12809.18066 46.46500015
556 87818.32031 12799.51465 46.91899872
557 87822.16406 12801.24121 46.82699966
558 87824.23438 12808.53809 45.59899902
559 87785.9375 12803.31445 45.75500107
560 87816.33594 12795.30859 45.40000153
561 87827.90625 12804.93359 47.74200058
562 87798.03125 12784.6543 47.08000183
563 87817.625 12783.63379 46.29600143
564 87825.83594 12790.99512 45.37799835
565 87829.96875 12805.65137 47.59700012
566 87833.89844 12798.82129 48.03300095
567 87831.66406 12791.46484 46.10200119
568 87827.85156 12783.83887 45.09700012
569 87807.28906 12767.79102 47.46099854
570 87841.48438 12791.02734 45.92900085
571 87839.84375 12795.73047 45.5719986
572 87833.30469 12779.97363 46.34600067
573 87837.01563 12776.51758 46.54100037
574 87846.19531 12783.7832 45.80099869
575 87861.74219 12798.54395 42.62400055
576 87813.25 12753.98828 48.09000015
577 87840.40625 12769.35352 46.77500153
578 87848.63281 12781.80078 47.31100082
579 87847.75 12762.70117 47.84799957
580 87820.39844 12743.5459 47.62200165
581 87854.15625 12755.26953 47.54899979
582 87851.17969 12778.2002 48.91600037
583 87865.91406 12792.06641 43.68500137
584 87842.73438 12774.0498 48.7519989
585 87827.79688 12733.75 47.55099869
586 87862.71094 12746.2832 47.4280014
587 87835.82813 12722.93555 48.1230011
588 87881.34375 12759.14746 47.23799896
589 87850.5625 12774.42383 47.23400116
590 87857.51563 12781.16895 45.63199997
591 87875.69531 12768.89063 46.3730011
592 87843.84375 12770.31934 46.74000168
593 87857.65625 12775.72559 47.92599869
594 87856.59375 12770.8584 49.9659996
595 87853.28906 12767.16699 47.86700058
596 87861.97656 12772.05762 50.39099884
597 87852.48438 12774.11816 47.22700119
598 87863.35156 12762.75293 47.66600037
599 87891.50781 12768.46973 47.09999847
600 87639.54688 12644.34082 51.7179985
601 87887.99219 12772.79883 47.0719986
602 87877.92188 12764.64355 47.09400177
603 87869.0625 12802.39063 42.45299911
